Date,Magasin,Produit,Quantité vendue,Prix unitaire,Revenu,Année
2022-09-30 10:54:32.727272728,Magasin_3,Produit_4,190,11.27,2141.2999999999997,2022
2022-10-07 19:38:10.909090912,Magasin_3,Produit_4,175,32.2,5635.000000000001,2022
2022-10-15 04:21:49.090909092,Magasin_3,Produit_1,190,29.29,5565.099999999999,2022
2022-10-22 13:05:27.272727276,Magasin_4,Produit_8,51,14.14,721.14,2022
2022-10-29 21:49:05.454545456,Magasin_1,Produit_3,108,47.43,5122.44,2022
2022-11-06 06:32:43.636363640,Magasin_4,Produit_7,55,31.95,1757.25,2022
2022-11-13 15:16:21.818181820,Magasin_3,Produit_2,64,36.27,2321.28,2022
2022-11-21 00:00:00.000000004,Magasin_1,Produit_2,131,44.62,5845.219999999999,2022
2022-11-28 08:43:38.181818184,Magasin_4,Produit_7,51,33.1,1688.1000000000001,2022
2022-12-05 17:27:16.363636368,Magasin_4,Produit_6,135,18.3,2470.5,2022
2022-12-13 02:10:54.545454548,Magasin_3,Produit_3,21,9.75,204.75,2022
2022-12-20 10:54:32.727272728,Magasin_1,Produit_9,73,25.54,1864.4199999999998,2022
2022-12-27 19:38:10.909090912,Magasin_3,Produit_10,167,14.83,2476.61,2022
2023-01-04 04:21:49.090909092,Magasin_1,Produit_6,18,23.74,427.32,2023
2023-01-11 13:05:27.272727276,Magasin_5,Produit_10,132,44.75,5907.0,2023
2023-01-18 21:49:05.454545456,Magasin_2,Produit_10,89,19.6,1744.4,2023
2023-01-26 06:32:43.636363640,Magasin_2,Produit_6,60,10.49,629.4,2023
2023-02-02 15:16:21.818181820,Magasin_2,Produit_1,14,21.03,294.42,2023
2023-02-10 00:00:00.000000004,Magasin_3,Produit_4,9,45.81,412.29,2023
2023-02-17 08:43:38.181818184,Magasin_5,Produit_10,90,17.25,1552.5,2023
2023-02-24 17:27:16.363636368,Magasin_1,Produit_6,53,34.15,1809.9499999999998,2023
2023-03-04 02:10:54.545454552,Magasin_4,Produit_6,130,5.02,652.5999999999999,2023
2023-03-11 10:54:32.727272728,Magasin_1,Produit_5,84,20.87,1753.0800000000002,2023
2023-03-18 19:38:10.909090912,Magasin_4,Produit_1,92,18.72,1722.2399999999998,2023
2023-03-26 04:21:49.090909096,Magasin_1,Produit_8,111,12.41,1377.51,2023
2023-04-02 13:05:27.272727280,Magasin_5,Produit_5,188,29.03,5457.64,2023
2023-04-09 21:49:05.454545456,Magasin_4,Produit_5,199,26.82,5337.18,2023
2023-04-17 06:32:43.636363640,Magasin_3,Produit_7,172,36.16,6219.5199999999995,2023
2023-04-24 15:16:21.818181824,Magasin_1,Produit_4,8,17.12,136.96,2023
2023-05-02 00:00:00.000000000,Magasin_1,Produit_6,175,15.99,2798.25,2023
2023-05-09 08:43:38.181818184,Magasin_4,Produit_4,35,12.57,439.95,2023
2023-05-16 17:27:16.363636368,Magasin_3,Produit_3,81,14.84,1202.04,2023
2023-05-24 02:10:54.545454552,Magasin_3,Produit_7,164,30.11,4938.04,2023
2023-05-31 10:54:32.727272728,Magasin_5,Produit_8,50,23.17,1158.5,2023
2023-06-07 19:38:10.909090912,Magasin_3,Produit_4,104,7.92,823.68,2023
2023-06-15 04:21:49.090909096,Magasin_3,Produit_2,132,16.43,2168.7599999999998,2023
2023-06-22 13:05:27.272727280,Magasin_3,Produit_10,2,16.11,32.22,2023
2023-06-29 21:49:05.454545456,Magasin_2,Produit_3,134,36.33,4868.219999999999,2023
2023-07-07 06:32:43.636363640,Magasin_5,Produit_1,54,37.05,2000.6999999999998,2023
2023-07-14 15:16:21.818181824,Magasin_1,Produit_8,106,11.66,1235.96,2023
2023-07-22 00:00:00.000000008,Magasin_4,Produit_3,4,49.9,199.6,2023
2023-07-29 08:43:38.181818184,Magasin_1,Produit_10,54,17.01,918.5400000000001,2023
2023-08-05 17:27:16.363636368,Magasin_5,Produit_7,191,48.95,9349.45,2023
2023-08-13 02:10:54.545454552,Magasin_4,Produit_10,146,23.5,3431.0,2023
2023-08-20 10:54:32.727272728,Magasin_5,Produit_5,44,6.49,285.56,2023
2023-08-27 19:38:10.909090912,Magasin_3,Produit_10,162,20.53,3325.86,2023
2023-09-04 04:21:49.090909096,Magasin_4,Produit_5,190,33.55,6374.499999999999,2023
2023-09-11 13:05:27.272727280,Magasin_3,Produit_7,14,35.63,498.82000000000005,2023
2023-09-18 21:49:05.454545456,Magasin_1,Produit_9,95,28.89,2744.55,2023
2023-09-26 06:32:43.636363640,Magasin_1,Produit_5,48,25.15,1207.1999999999998,2023
2023-10-03 15:16:21.818181824,Magasin_4,Produit_1,15,29.88,448.2,2023
2023-10-11 00:00:00.000000008,Magasin_4,Produit_10,190,31.67,6017.3,2023
2023-10-18 08:43:38.181818184,Magasin_5,Produit_10,40,8.64,345.6,2023
2023-10-25 17:27:16.363636368,Magasin_5,Produit_1,82,21.63,1773.6599999999999,2023
2023-11-02 02:10:54.545454552,Magasin_3,Produit_2,111,15.9,1764.9,2023
2023-11-09 10:54:32.727272736,Magasin_4,Produit_6,53,41.14,2180.42,2023
2023-11-16 19:38:10.909090912,Magasin_1,Produit_9,24,26.16,627.84,2023
2023-11-24 04:21:49.090909096,Magasin_5,Produit_8,154,49.25,7584.5,2023
2023-12-01 13:05:27.272727280,Magasin_5,Produit_5,188,22.95,4314.599999999999,2023
2023-12-08 21:49:05.454545456,Magasin_1,Produit_1,124,41.74,5175.76,2023
2023-12-16 06:32:43.636363640,Magasin_5,Produit_7,41,40.93,1678.1299999999999,2023
2023-12-23 15:16:21.818181824,Magasin_3,Produit_5,157,11.78,1849.4599999999998,2023
2023-12-31 00:00:00.000000000,Magasin_4,Produit_6,15,27.87,418.05,2023
